model,RMSE,MAE,R2
ExtraTrees,7.797534656719856,6.162753891351342,0.4981704644346109
Ridge,7.8440413362918555,6.210869989174158,0.4921665093662121
RandomForest,7.847476985644729,6.1590800985435346,0.49172155508265014
HistGradientBoosting,7.902226997933024,6.25621106171215,0.4846045347314678
