Evento,,Tipo de evento,"Fecha
del
evento",Descripción,Usuario,Comentario,source_page,source_table
,,Control de Gest,02/11/2,+,DelproClien,,4,1
,,Invitación Visita,28/09/2,"Diagnostico de Gestacion (>40 dias
insem)",DR RAFA (,,4,1
,,Control de Gest,27/09/2,+,DelproClien,,4,1
,,Invitación Visita,21/09/2,"Diagnostico de Gestacion (>40 dias
insem)",DR RAFA (,,4,1
,,Invitación Visita,14/09/2,"Diagnostico de Gestacion (>40 dias
insem)",DR RAFA (,,4,1
,,Peso,06/09/2,390 kg,DelproClien,ALTURA DE 137.5 CM A LA GRUPA,4,1
,,Inseminación,05/08/2,"Effective Insemination
Artificial Insemination;
8403824809684; CUMULUS;
Unknown Brand; Matías",Matías,,4,1
,,Celo,05/08/2,Se deja montar,Matías,,4,1
,,Invitación Visita,27/07/2,"PG1 Becerras (edad en dias 400-
407)",DR RAFA (,,4,1
,,Inseminación,15/07/2,"Artificial Insemination;
8403216874976; MAGNUM;
Unknown Brand; Matías",Matías,,4,1
,,Celo,15/07/2,Se deja montar,Matías,,4,1
,,Diagnósticos/Tr,13/07/2,"Dns: Presynch; Loc.: DD; Trat: PG
X1; Med: LUTALYSE 1 d 1X5ml
Intramuscular",DelproClien,,4,1
,,Invitación Visita,13/07/2,"PG1 Becerras (edad en dias 400-
407), Available for Vet Visit earliest
27/07/2023",DR RAFA (,,4,1
,,Invitación Visita,12/07/2,"PG1 Becerras (edad en dias 400-
407)",DR RAFA (,,4,1
,,Peso,29/06/2,339 kg,User1,altura de 127,4,1
,,Peso,23/05/2,300 kg,User1,Talla: 127.1,4,1
,,Diagnósticos/Tr,17/05/2,"Dns: LEPTOFERM 5; Loc.: DD; Trat:
LEPTOFERM 5; Med: LEPTOFERM 5
1 d 1X2ml",User1,,4,1
,,Peso,27/09/2,64 kg,DelproClien,ALTURA 92,4,1
,,Diagnósticos/Tr,27/09/2,"Dns: VACUNA; Loc.: DD; Trat: ONE-
SHOT; Med:",DelproClien,,4,1
,,Diagnósticos/Tr,15/08/2,"Dns: VACUNA; Loc.: DD; Trat: ONE-
SHOT; Med:",DelproClien,,4,1
