Evento,,Tipo de evento,"Fecha
del
evento",Descripción,Usuario,Comentario,source_page,source_table
Nº Lactación 1,,,,,,,1,1
,,Cambio tabla ali,22/08/2,Primerizas-ProduccionLeche ->,User1,,1,1
,,Condición corpo,22/08/2,"Condición corporal: 3.25 - DDUP:
473",User1,,1,1
,,Secado,22/08/2,Dry Off,User1,"SE SECO CON 473 DEL, 20.75
LITROS, 125 DCC, QUEDO
GESTANTE EN LA 7 INSEM. SE SECO
PORQUE TIENE MUCHOS DIAS EN
LECHE Y POCA PRODUCCION",1,1
,,Cambio de grup,22/08/2,"3, VMS 3 -> 100, SECAS",User1,,1,1
,,Diagnósticos/Tr,22/08/2,"Dns: VACUNA; Loc.: DD; Trat:
starvacc; Med: STARVAC 1 d 1X2ml
Intramuscular",User1,,1,1
,,Diagnósticos/Tr,22/08/2,"Dns: VACUNA; Loc.: DD; Trat:
ROTAVEC; Med:",User1,,1,1
,,Diagnósticos/Tr,22/08/2,"Dns: Secado por baja; Loc.: DD;
Trat: CEFA SAFE; Med: CEFA SAFE 1
d 1X4pcs",User1,,1,1
,,Condición corpo,22/08/2,"Condición corporal: 2.89 - DDUP:
473",Admin,BCS Camera,1,1
,,Control de Gest,21/08/2,+,User1,CARGADA DE 124,1,1
,,Control de Gest,24/07/2,+,User1,CARGADA DE 96,1,1
,,Invitación Visita,24/07/2,"24/07/2025, Reconfirmacion 1 (90-
110 dias)",DR RAFA (,,1,1
,,Control de Gest,19/06/2,+,User1,CARGADA 61 DCC,1,1
,,Invitación Visita,19/06/2,"19/06/2025, Diagnostico de
Gestacion (>40 dias insem)",DR RAFA (,,1,1
,,Invitación Visita,05/06/2,"05/06/2025, Diagnostico de
Gestacion (>40 dias insem)",DR RAFA (,,1,1
,,Invitación Visita,29/05/2,"29/05/2025, Diagnostico de
Gestacion (>40 dias insem)",DR RAFA (,,1,1
,,Inseminación,19/04/2,"Effective Insemination
Artificial Insemination; 2406261;
FETILITY; Unknown Brand; Roma",Roma,DE CIDR NO TUR,1,1
,,Celo,19/04/2,Herd Navigator,Roma,,1,1
,,Diagnósticos/Tr,10/04/2,"Dns: Vacia; Loc.: DD; Trat: CIDR;
Med:",User1,,1,1
,,Control de Gest,10/04/2,-,User1,vacia de 39 post. insem,1,1
